metaphor,source_frame,target_frame
SUCCESSFULLY ADDRESSING SOCIAL PROBLEMS IS WINNING A WAR,,
SUFFERING IS A BURDEN,Burden,Experience pain
SURVIVING CANCER IS HARMING CANCER,Attacking,Cancer
SURVIVING CANCER IS WINNING A COMPETITION,Competition,Cancer
SUSPENSION OF ACTION IS THE STOPPING OF MOTION,,
SYMPATHY IS WARMTH,Warmth,Sympathy
TAXATION IS A BURDEN,Burden,Taxation
TAXATION IS A FORCE,Force,Taxation
TAXATION IS CAUSING HARM,Physical harm,Taxation
TAXATION IS FORCEFUL REMOVAL OF A SUBSTANCE,Release liquid,Taxation
TAXATION IS IMPEDIMENTS TO MOTION,Motion impediments,Taxation
TAXATION IS INVESTMENT,Investment,Taxation
TAXATION IS PUNISHMENT,Punishment,Taxation
TAXATION IS RESOURCE TRANSFER,Resource transfer,Taxation
TAXATION IS SLAVERY,Servitude,Taxation
TAXATION IS THEFT,Theft,Taxation
TAXES ARE DISEASES,Disease,Taxation
TAXES ARE DUES,Group membership,Taxation
TERMINATION OF CONTROL IS LOSS OF A POSSESSION,Lose possession,Control
TERMINATION OF POWER IS CAUSED MOTION DOWNWARDS,TBD,TBD
TESTING THE NATURE OF IDEAS IS SMELLING OR TASTING,,
THEORIES ARE BUILDINGS,Building,Theory
THEORIES ARE COMPLEX STRUCTURES,Complex physical object,Theory
THINKING IS LINGUISTIC ACTIVITY,Linguistic activity,Cognizing
THINKING IS MOVING,Motion,Thinking about
THINKING IS OBJECT MANIPULATION,Object manipulation,Thinking about
THINKING IS PERCEIVING,Perception,Thinking about
THINKING IS SPEAKING,Speaking,Cognizing
TIME IS A COMMODITY,Commodity,Time
TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,Motion along a path,Time
TIME IS A MOVING OBJECT,Moving object,Time
TIME IS A RESOURCE,Resource,Time
TIME IS A SUBSTANCE,Substance,Time
TIME IS AN ENTITY,Physical entity,Time
TIME IS MONEY,Money,Time
TIME PERIODS ARE CONTAINERS,Containment,Time
TRANSITIONAL STATE TO UTILIZING EDUCATIONAL OPPORTUNITIES IS PORTAL TO ACCESSING A LOCATION,Portals,Educational opportunities
TREATIES ARE INTERPERSONAL CONTRACTS,Contracts,Treaties
TRUST IN GOVERNMENT IS A BUILDING,Building,Government legitimacy
TRUST RELATIONSHIPS ARE BUILDINGS,Building,Trust relationship
UNCONSCIOUS IS DOWN,Verticality,Consciousness
UNCONTROLLED CRIME IS A RAMPAGING ANIMAL,Animal,Crime
UNDERSTANDING IS DIGESTING,Digestion,Understanding
UNDERSTANDING IS FOLLOWING,Guided motion,Understanding
UNDERSTANDING IS GRASPING,Object manipulation,Understanding
UNINTERESTING IDEAS ARE FLAVORLESS FOOD,,
VIOLENCE IS A FLUID,Fluid motion,Violence
VIRTUAL MOTION IS ACTUAL MOTION,Motion along a path,Virtual motion
VISUAL FIELD IS A CONTAINER,Containment,Visual field
VOTING IS SPEAKING,Speaking,Voting
WEALTH DISTRIBUTION IS MOTION OF WATER,Fluid motion,Wealth distribution
WEALTH IS A RESOURCE,Resource,Wealth
WEALTH IS A SUBSTANCE,Substance,Wealth
WEALTH IS LINEAR SPATIAL SCALE,Scale,Wealth
WEALTH IS PROTECTION AGAINST HARM,Protect against contact,Wealth
WEALTH REDISTRIBUTION IS RESOURCE TRANSFER,Resource transfer,Wealth redistribution
WEALTHY PEOPLE ARE PARASITES,Parasite,Wealthy people
WELL-BEING IS UP,,
WELL-BEING IS VERTICALITY,Verticality,Well-being
WELL-BEING IS WEALTH,Wealth,Well-being
WELL-FUNCTIONING BUREAUCRACY IS A SMOOTHLY FUNCTIONING MACHINE,Machine,Bureaucracy
WHOLES ARE CONTAINERS,Containing,Part_whole
WHOLES ARE POSSESSORS,Possession,Part_whole
WINNING AN ELECTION IS WINNING A BOXING MATCH,Physical competition,Election
WINNING AN ELECTION IS WINNING A RACE,Race,Election
WINNING AN ELECTION IS WINNING A WAR,War,Election
WORDS ARE CONTAINERS,Containing,Word
WORSENING MOOD IS DOWNWARD MOTION,Downward motion,Emotion
